epoch,train_loss,train_acc,val_loss,val_acc
1,0.8025585532569885,0.72244,0.6113095674037934,0.7997
2,0.4853666239547729,0.8343,0.4564551258563995,0.841
3,0.39499741987228393,0.86636,0.41181023597717287,0.8629
4,0.35137980929374696,0.88052,0.37619243602752683,0.8761
5,0.31921021795272825,0.89204,0.3688421730041504,0.8766
6,0.20963801105499266,0.93006,0.26596262493133543,0.9124
7,0.1877529616689682,0.93652,0.2662768808841705,0.9153
8,0.1773549686908722,0.93938,0.28545430459976195,0.909
9,0.16837754618644715,0.94226,0.29135478210449217,0.9079
10,0.16204178582668305,0.94342,0.2878143961906433,0.9068
11,0.10088052327632904,0.96548,0.2254992470741272,0.9314
12,0.08494136585235595,0.97142,0.22972255005836487,0.9336
13,0.07922370591640472,0.97364,0.2330168884754181,0.9319
14,0.07482017122864723,0.9743,0.24609682245254516,0.9265
15,0.06652515616893769,0.97814,0.23281593298912048,0.9328
16,0.04509324630022049,0.98466,0.2186368408203125,0.94
17,0.0324860113298893,0.98876,0.231791383600235,0.9393
18,0.032662519291639325,0.98906,0.23625900444984435,0.9393
19,0.02947365041732788,0.99064,0.2389427513599396,0.9355
20,0.029135021095275878,0.9902,0.24256526284217836,0.9404
