epoch,train_loss,train_acc,val_loss,val_acc
1,0.6082403373622894,0.79244,0.4069962456703186,0.8628
2,0.41476424894332886,0.8582,0.47527300939559936,0.8484
3,0.35742290843486785,0.87728,0.3951414726257324,0.8715
4,0.32160650532722473,0.89062,0.31696371541023255,0.8923
5,0.30231760088920595,0.89622,0.2966724764347076,0.9005
6,0.20488777765750885,0.92996,0.2048953515768051,0.9318
7,0.18140279705524445,0.93896,0.22373763160705568,0.9265
8,0.17707777879714967,0.9401,0.2070555668056011,0.9297
9,0.1689666197824478,0.94232,0.23282843055725097,0.9229
10,0.16857230969905854,0.94248,0.21308516612052916,0.9306
11,0.11037360631942748,0.9621,0.1652499949634075,0.9471
12,0.09055912865161896,0.96922,0.1649909152984619,0.9486
13,0.09066329787731171,0.96896,0.19472688963413237,0.9435
14,0.08678733317136765,0.9709,0.17325537054538726,0.948
15,0.08389110274791718,0.97102,0.20129205701351166,0.9414
16,0.05695959315538406,0.98088,0.15479945164918898,0.9524
17,0.05031151426076889,0.9839,0.15164146215319632,0.9544
18,0.04880050604939461,0.9841,0.1510198710858822,0.9547
19,0.046092643027305605,0.98452,0.17119334101676942,0.9506
20,0.045250671147108075,0.98528,0.17028203778862952,0.9522
