epoch,train_loss,train_acc,val_loss,val_acc
1,0.2994142822265625,0.9165,0.11904070642441511,0.9635
2,0.1707135304470857,0.9504,0.09692487569227815,0.972
3,0.15315636319319406,0.9544166666666667,0.0938759915843606,0.9714
4,0.1470619844555855,0.9566833333333333,0.08706196943819523,0.9741
5,0.1377163398683071,0.9594166666666667,0.07733367649167776,0.9766
6,0.10226100845833619,0.9703666666666667,0.06501303601674735,0.9816
7,0.09610972762604554,0.9718666666666667,0.06569189524762332,0.9797
8,0.09585497907847167,0.9719166666666667,0.05930028752014041,0.982
9,0.09314390679995219,0.9729166666666667,0.06034516962599009,0.9817
10,0.09179119443098704,0.97315,0.06350273464918137,0.9799
