epoch,train_loss,train_acc,val_loss,val_acc
1,0.23633467283248902,0.9300333333333334,0.09618105989657343,0.9702
2,0.12170742365320524,0.9620833333333333,0.07346409864295274,0.9758
3,0.1010879380941391,0.96855,0.07226371627263725,0.9764
4,0.08602684915761152,0.9727166666666667,0.06360247253975831,0.9789
5,0.07997091429730256,0.9744333333333334,0.06371080593327061,0.9786
6,0.05735017116044958,0.98135,0.052416468789288774,0.9832
7,0.04565426719735066,0.9858833333333333,0.04680934012583457,0.9845
8,0.04548746963640054,0.9848333333333333,0.049978435212979094,0.9852
9,0.043950194868942104,0.9859333333333333,0.04862590459866915,0.9839
10,0.03958946237992495,0.9867833333333333,0.04784152171690948,0.984
