epoch,train_loss,train_acc,val_loss,val_acc
1,0.2280595380584399,0.9333,0.10857933120131492,0.9694
2,0.12054683941602706,0.9635833333333333,0.08808419850356877,0.9732
3,0.09234909018576146,0.9724833333333334,0.0747042440827936,0.9778
4,0.081178188341856,0.9745,0.0684922027213499,0.9786
5,0.07133852937817574,0.9786333333333334,0.07044103515408934,0.9777
6,0.052217088119188945,0.9846166666666667,0.05819099070774391,0.9822
7,0.04626606927464406,0.9859833333333333,0.05837433499153703,0.9821
8,0.043587175628791254,0.9868166666666667,0.05902351051829755,0.9821
9,0.04044124838684996,0.9879666666666667,0.05616094724549912,0.9837
10,0.040101063402245445,0.98745,0.05645331018674187,0.984
