epoch,train_loss,train_acc,val_loss,val_acc
1,0.22362161349455514,0.9370833333333334,0.10053798757046462,0.9692
2,0.10648264003346364,0.9675666666666667,0.07859602836482227,0.9759
3,0.08498160319775343,0.97305,0.07153565397877246,0.977
4,0.07199624942094088,0.9771666666666666,0.06917065177420154,0.979
5,0.0612466710259517,0.9801166666666666,0.05811540230019018,0.9818
6,0.037307247339437404,0.9879666666666667,0.045592853946285324,0.986
7,0.03121845891897877,0.9902833333333333,0.04515754868844524,0.9859
8,0.030072509144246577,0.9902666666666666,0.048721194998873396,0.9845
9,0.028680363857746125,0.9905666666666667,0.052619601420592514,0.984
10,0.027833657517594597,0.9908,0.050087559324433095,0.985
