epoch,train_loss,train_acc,val_loss,val_acc
1,0.2935785934726397,0.9174833333333333,0.1073161282658577,0.9671
2,0.15043799508412678,0.9553333333333334,0.08719473072811962,0.9742
3,0.12345162573655447,0.9621166666666666,0.07435878246948123,0.9765
4,0.10909169004460176,0.96735,0.06943813228160142,0.9796
5,0.09637069404199719,0.9700833333333333,0.057758258388377726,0.9813
6,0.08748400002966325,0.9731166666666666,0.05894718233146705,0.9811
7,0.08342775021344423,0.9742833333333333,0.0597200891549699,0.9825
8,0.08001595004250606,0.97475,0.060041026804968714,0.9814
9,0.0744946810948352,0.9762833333333333,0.056401423908490685,0.9824
10,0.07315243482142687,0.9768666666666667,0.0539459440945182,0.984
