epoch,train_loss,train_acc,val_loss,val_acc
1,1.9580491641616822,0.26092,1.5686508213043213,0.4162
2,1.5134420166397096,0.44038,1.2639479488372802,0.5422
3,1.2516252046966552,0.5482,1.0442905172348023,0.6298
4,1.104760557422638,0.60266,0.9655277774810791,0.6533
5,1.0009943001174926,0.64436,0.8992457729339599,0.6809
6,0.8351933153152465,0.70392,0.7356025350570679,0.7372
7,0.7560080651855469,0.73472,0.6779322615623474,0.7593
8,0.7061976571083068,0.75316,0.6474463293075562,0.775
9,0.6514752721977234,0.77462,0.5933715532302857,0.7968
10,0.6169447130012512,0.78754,0.5856843328475952,0.8037
