epoch,train_loss,train_acc,val_loss,val_acc
1,0.7371963434505463,0.7526,0.4586986186981201,0.8473
2,0.6221389336013794,0.79628,0.4691118355751038,0.8449
3,0.6009914314937591,0.80238,0.4345764312744141,0.854
4,0.5766139039611816,0.81126,0.4214394597530365,0.8623
5,0.5715465714073181,0.8119,0.4176636353492737,0.8667
6,0.46471389528274537,0.846,0.36854965324401856,0.8785
7,0.42559730525016787,0.8569,0.36118911247253416,0.8772
8,0.4101529070663452,0.86298,0.34125195589065555,0.8839
9,0.40551475507736207,0.8634,0.3576421826839447,0.8808
10,0.39509704054832456,0.86678,0.336977561044693,0.8884
11,0.35967187125205996,0.87942,0.3251394127845764,0.8902
12,0.33622136105537415,0.88406,0.3266165762424469,0.8873
13,0.32498343967437743,0.8895,0.31696857781410215,0.8896
14,0.30906085601806643,0.89308,0.31600412282943724,0.8906
15,0.30971593957901,0.89546,0.3146818157672882,0.89
16,0.28692752307891844,0.90184,0.3050086973667145,0.8951
17,0.2701613364505768,0.90654,0.3009440755844116,0.8966
18,0.26572612983703614,0.90852,0.30178655281066896,0.8965
19,0.2616469529914856,0.90968,0.3003625325202942,0.8968
20,0.25480025496006015,0.91214,0.2976738945007324,0.8978
