epoch,train_loss,train_acc,val_loss,val_acc
1,1.0128950019836427,0.9103,0.14098554277867079,0.9573
2,0.7792796539624532,0.9370333333333334,0.12405815023034811,0.962
3,0.7426874417622884,0.941,0.1234796193473041,0.9619
4,0.7085434138615926,0.9449333333333333,0.11366424393504858,0.9651
5,0.6765280862808227,0.9468166666666666,0.08405290758758784,0.9743
6,0.5422118307590484,0.9604833333333334,0.07330483840703965,0.9773
7,0.5050266846021016,0.9597333333333333,0.07385511814430357,0.9771
8,0.4816213538805644,0.9604,0.0686289715256542,0.9795
9,0.4641324304262797,0.9607,0.07048502720762044,0.9785
10,0.44918328237533567,0.9623833333333334,0.06645394790247083,0.9804
