epoch,train_loss,train_acc,val_loss,val_acc
1,3.208975924173991,0.86345,0.3157995504617691,0.9056
2,2.0143436484654744,0.8845833333333334,0.2124168690562248,0.9378
3,1.458818635749817,0.8943,0.219727002120018,0.9374
4,1.279598544184367,0.8992666666666667,0.18142002664804457,0.9448
5,1.2153215059280396,0.9043833333333333,0.1609063018858433,0.9555
6,0.9851156611760458,0.9222166666666667,0.12495731177031993,0.9635
7,0.9415728968302409,0.9232833333333333,0.1408888126462698,0.9601
8,0.9272732096354167,0.9237,0.12325711540281772,0.9643
9,0.9065663999557495,0.9252833333333333,0.11831944754570722,0.9686
10,0.9023714006423951,0.9241666666666667,0.11853298822939395,0.9687
