epoch,train_loss,train_acc,val_loss,val_acc
1,0.2935785934726397,0.9174833333333333,0.1073161282658577,0.9671
2,0.14967038413584233,0.95565,0.0866614506084472,0.9738
3,0.12017130642831325,0.9631833333333333,0.07572898542080074,0.9761
4,0.10211282084683578,0.9700333333333333,0.06563794877594337,0.9791
5,0.08225808779895305,0.97435,0.05009281492419541,0.9846
6,0.06926680733859539,0.9784833333333334,0.05139626774797216,0.9839
7,0.058047779607524476,0.9817,0.04660401293872855,0.9849
8,0.047628140342235566,0.9848666666666667,0.04261750886708032,0.987
9,0.03807734633895258,0.9878333333333333,0.040978676763712425,0.986
10,0.03539409544095397,0.9886833333333334,0.04033984736538259,0.9865
