epoch,train_loss,train_acc,val_loss,val_acc
1,0.3092746199215452,0.9064166666666666,0.13761785138435662,0.9577
2,0.15372914049526057,0.9553833333333334,0.10154029997047037,0.9691
3,0.12227943245023488,0.9643333333333334,0.09426236475482583,0.9724
4,0.10934585580527782,0.9679666666666666,0.08273844274692238,0.9746
5,0.09949274378096064,0.9713333333333334,0.07243983109723777,0.9794
6,0.06314017168767751,0.9817333333333333,0.05966165166939609,0.9833
7,0.05686387648905317,0.9829833333333333,0.06293898045790848,0.9829
8,0.051981978222945084,0.9836666666666667,0.06786361987726995,0.9812
9,0.04864531421357145,0.9850833333333333,0.06759041568581015,0.9794
10,0.047487153734204667,0.985,0.06668242148660065,0.9821
