epoch,train_loss,train_acc,val_loss,val_acc
1,3.6361434485626223,0.47182,1.6023497482299804,0.5725
2,2.0984513081359863,0.6518,1.205124054145813,0.6745
3,1.4969260753631592,0.72848,0.8902777063369751,0.741
4,1.1877825640487671,0.77172,0.8133946934700013,0.7742
5,1.0208014168739319,0.79784,0.7977446116447449,0.7889
6,0.7834122182655334,0.8306,0.5996087749481201,0.8346
7,0.7159218438339233,0.84524,0.5743684692382812,0.8399
8,0.6654432713127136,0.85046,0.5938879937171936,0.8389
9,0.6314245536804199,0.8571,0.5470357732772827,0.844
10,0.6054870140838623,0.86278,0.5658207934379578,0.8466
