epoch,train_loss,train_acc,val_loss,val_acc
1,1.660518688583374,0.4582,1.4447309337615968,0.5746
2,1.2869492148590087,0.64742,1.3333001873016357,0.6342
3,1.1267978416442872,0.72456,1.08694948387146,0.7445
4,1.0232484790039063,0.77172,1.035034157562256,0.7734
5,0.958157208480835,0.80114,0.9836168615341186,0.7947
6,0.8498488138198853,0.85024,0.9339421804428101,0.8192
7,0.8255657934188843,0.8609,0.8598698703765869,0.8457
8,0.8019960710525512,0.87224,0.8664436164855958,0.8449
9,0.7842997484207154,0.88034,0.8133765956878662,0.8676
10,0.7632653855895996,0.88714,0.8194137571334839,0.8621
