epoch,train_loss,train_acc,val_loss,val_acc
1,0.2702740284721057,0.9241166666666667,0.10489566259384155,0.9676
2,0.1373701090713342,0.9585,0.08137410714235156,0.9757
3,0.11262880352139473,0.9649833333333333,0.07328818744961173,0.9768
4,0.0988096944714586,0.9699,0.06867555437097327,0.9793
5,0.0851589340209961,0.9731,0.05669743824731559,0.9826
6,0.0622271075134476,0.9807333333333333,0.051643199092987924,0.983
7,0.05376709380547206,0.9831333333333333,0.0501258822819218,0.9843
8,0.05328707391954959,0.9831166666666666,0.049510397877427746,0.983
9,0.048883648731932045,0.9843,0.04890376039599068,0.9839
10,0.046920514681066075,0.9852833333333333,0.051261187405162494,0.9834
