epoch,train_loss,train_acc,val_loss,val_acc
1,0.39806486312150957,0.8947666666666667,0.12267939031794667,0.9644
2,0.18830213611920674,0.9470333333333333,0.0898284421287477,0.9728
3,0.1546757895886898,0.95665,0.07511914639044553,0.9769
4,0.1344174304008484,0.9623,0.07113825182300061,0.9781
5,0.12141911098361015,0.9663,0.06859420828558505,0.9803
6,0.09508933944702148,0.9733833333333334,0.05533264919463545,0.9837
7,0.08318715107440948,0.97625,0.05267679448716808,0.9845
8,0.07891932660490275,0.9780666666666666,0.05219859678084031,0.9845
9,0.07514073491742214,0.97815,0.05511664408512879,0.9836
10,0.07036484440788626,0.9796666666666667,0.049235400270600804,0.9851
